Period,Year,Age group,Actual Price,Inflation Adjusted Price
1991-09,1991,Total,6.8276372671,16.33896077
1991-10,1991,Total,6.8243728012,16.3311487
1991-10,1991,65+,5.5417386711,13.261725426
1991-10,1991,16-64,7.1625473613,17.140421462
1991-10,1991,0-15,6.3843466666,15.278138783
1991-11,1991,Total,6.9952994344,16.740186768
1991-11,1991,0-15,6.5410154654,15.653056966
1991-11,1991,16-64,7.341267095,17.568108904
1991-11,1991,65+,5.7354424972,13.725270733
1991-12,1991,0-15,9.4589009161,22.635738389
1991-12,1991,16-64,10.212391047,24.438887151
1991-12,1991,65+,7.5137327642,17.980829981
1991-12,1991,Total,9.7551919729,23.344781323
1992-01,1992,0-15,9.3382347191,22.37131955
1992-01,1992,Total,9.7663303317,23.396894944
1992-01,1992,65+,7.4794438288,17.918271813
1992-01,1992,16-64,10.245156186,24.544003206
1992-02,1992,16-64,10.247107834,24.548678708
1992-02,1992,65+,7.5519724526,18.09202639
1992-02,1992,Total,9.7977085361,23.472066736
1992-02,1992,0-15,9.4564943982,22.654630599
1992-03,1992,16-64,7.1478905859,17.123979983
1992-03,1992,65+,5.3674192944,12.858560082
1992-03,1992,Total,6.7976050032,16.284811667
1992-03,1992,0-15,6.4299854711,15.404116945
1992-04,1992,Total,6.6651655723,15.967530626
1992-04,1992,65+,5.1209964401,12.268212486
1992-04,1992,16-64,7.0497459016,16.888857804
1992-04,1992,0-15,6.398466372,15.328607616
1992-05,1992,16-64,7.1500696005,17.129200181
1992-05,1992,0-15,6.4128531033,15.363073463
1992-05,1992,65+,5.4150804639,12.972740469
1992-05,1992,Total,6.7940592363,16.276317183
1992-06,1992,16-64,7.1451742515,17.117472545
1992-06,1992,65+,5.4194006504,12.983090206
1992-06,1992,Total,6.7697524292,16.218086119
1992-06,1992,0-15,6.3441213152,15.198414848
1992-07,1992,16-64,7.1641512114,17.162935059
1992-07,1992,65+,5.4790184251,13.125914661
1992-07,1992,Total,6.793125384,16.274079982
1992-07,1992,0-15,6.3138102124,15.125799478
1992-08,1992,Total,6.8066447817,16.306467984
1992-08,1992,65+,5.4194943791,12.983314749
1992-08,1992,16-64,7.1875308685,17.21894498
1992-08,1992,0-15,6.348660146,15.209288384
1992-09,1992,16-64,7.1761459153,17.1916704
1992-09,1992,65+,5.402722086,12.943133886
1992-09,1992,Total,6.779037797,16.240330786
1992-09,1992,0-15,6.2732261191,15.028573423
1992-10,1992,Total,6.7897398202,16.265969292
1992-10,1992,65+,5.410136503,12.960896375
1992-10,1992,16-64,7.1636805366,17.161807479
1992-10,1992,0-15,6.3387516249,15.185550847
1992-11,1992,65+,5.4712509015,13.107306246
1992-11,1992,16-64,7.3110544274,17.514866542
1992-11,1992,0-15,6.4566549667,15.46800823
1992-11,1992,Total,6.9169360804,16.570689431
1992-12,1992,16-64,7.323193348,17.543947378
1992-12,1992,65+,5.5049313538,13.187993461
1992-12,1992,Total,6.9444926744,16.636705909
1992-12,1992,0-15,6.5567713016,15.707853831
1993-01,1993,Total,6.9843528061,16.484947356
1993-01,1993,16-64,7.3623917177,17.37722066
1993-01,1993,0-15,6.4887205284,15.315122144
1993-01,1993,65+,5.556305125,13.114371513
1993-02,1993,Total,6.9985767715,16.518519732
1993-02,1993,65+,5.5697037447,13.145995852
1993-02,1993,16-64,7.386572407,17.434293578
1993-02,1993,0-15,6.5077773546,15.360101369
1993-03,1993,0-15,6.4202816694,15.153588066
1993-03,1993,16-64,7.3500433461,17.348075189
1993-03,1993,65+,5.3851055346,12.710294527
1993-03,1993,Total,6.9141899988,16.319344298
1993-04,1993,0-15,6.4496937936,15.223008574
1993-04,1993,16-64,7.3457987685,17.338056847
1993-04,1993,Total,6.8985484058,16.28242594
1993-04,1993,65+,5.2471985022,12.384796913
1993-05,1993,Total,6.9380889224,16.375752173
1993-05,1993,65+,5.4305652543,12.817591668
1993-05,1993,16-64,7.3642136271,17.381520856
1993-05,1993,0-15,6.4102889774,15.130002631
1993-06,1993,16-64,7.3527668316,17.354503346
1993-06,1993,0-15,6.3943435295,15.092367094
1993-06,1993,65+,5.4496709913,12.862686335
1993-06,1993,Total,6.9224196654,16.33876852
1993-07,1993,16-64,7.3807422822,17.420532918
1993-07,1993,65+,5.3961729687,12.736416642
1993-07,1993,Total,6.9475316498,16.398039544
1993-07,1993,0-15,6.3947988414,15.093441752
1993-08,1993,0-15,6.4667511124,15.263268425
1993-08,1993,Total,6.9908382003,16.500254627
1993-08,1993,16-64,7.4194540681,17.511903124
1993-08,1993,65+,5.5017481285,12.985602358
1993-09,1993,Total,7.0141777946,16.555342335
1993-09,1993,0-15,6.4518020227,15.227984561
1993-09,1993,65+,5.4680442772,12.906052222
1993-09,1993,16-64,7.455757278,17.597588444
1993-10,1993,65+,5.4962374805,12.972595749
1993-10,1993,0-15,6.5222368274,15.394229606
1993-10,1993,16-64,7.5090311847,17.723329163
1993-10,1993,Total,7.0766191254,16.702720636
1993-11,1993,Total,7.2411474438,17.09105163
1993-11,1993,0-15,6.6818441802,15.7709458
1993-11,1993,65+,5.6507781852,13.337353294
1993-11,1993,16-64,7.6872379815,18.143945038
1993-12,1993,16-64,7.6970668511,18.167143808
1993-12,1993,Total,7.2635299815,17.143880427
1993-12,1993,0-15,6.7989147334,16.047263729
1993-12,1993,65+,5.5851323988,13.182411617
1994-01,1994,65+,5.6792909108,13.181411545
1994-01,1994,Total,7.3867111639,17.144267013
1994-01,1994,16-64,7.8290388207,18.170892163
1994-01,1994,0-15,6.8097974465,15.805272893
1994-02,1994,Total,7.4004461608,17.176145402
1994-02,1994,16-64,7.8378186896,18.191269894
1994-02,1994,65+,5.6984158305,13.225799734
1994-02,1994,0-15,6.8463370907,15.890079974
1994-03,1994,65+,5.5508116602,12.883216242
1994-03,1994,Total,7.3327160611,17.018946496
1994-03,1994,0-15,6.8311963108,15.854938818
1994-03,1994,16-64,7.8011885327,18.106252736
1994-04,1994,0-15,7.0300369187,16.316440073
1994-04,1994,16-64,7.8622506582,18.247975535
1994-04,1994,65+,5.5818200562,12.955185513
1994-04,1994,Total,7.4091218445,17.196281324
1994-05,1994,Total,7.4275612192,17.239078389
1994-05,1994,16-64,7.8846399427,18.299940187
1994-05,1994,0-15,6.8491498739,15.896608334
1994-05,1994,65+,5.7310092913,13.301447879
1994-06,1994,Total,7.4412348912,17.270814446
1994-06,1994,0-15,6.8268712275,15.844900469
1994-06,1994,65+,5.8367935171,13.54696892
1994-06,1994,16-64,7.8986964129,18.332564703
1994-07,1994,16-64,7.9373377681,18.422249774
1994-07,1994,Total,7.492983321,17.390920523
1994-07,1994,0-15,6.8983283595,16.010749671
1994-07,1994,65+,5.8701600069,13.624411234
1994-08,1994,Total,7.4972814879,17.4008964
