Period,Year,Age group,Actual Price,Inflation Adjusted Price
1996-01,1996,65+,6.650951238,14.86555436
1996-01,1996,0-15,7.807212405,17.449916
1996-02,1996,16-64,9.119319,20.38260806
1996-02,1996,65+,6.694325434,14.96250011
1996-02,1996,0-15,7.807796668,17.45122188
1996-03,1996,0-15,7.910375062,17.68049506
1996-03,1996,65+,6.499163356,14.52629296
1996-03,1996,16-64,9.105081148,20.35078501
1996-04,1996,16-64,9.072546645,20.27806708
1996-04,1996,65+,6.36933437,14.23611194
1996-04,1996,0-15,7.954631335,17.77941234
1996-05,1996,65+,6.605645998,14.76429253
1996-05,1996,16-64,9.108650265,20.35876235
1996-05,1996,0-15,7.85002063,17.54559675
1996-06,1996,65+,6.793879787,15.18501424
1996-06,1996,16-64,9.230871174,20.63193855
1996-06,1996,0-15,7.950831918,17.77092026
1996-07,1996,65+,6.811707759,15.22486158
1996-07,1996,0-15,7.852587975,17.55133502
1996-07,1996,16-64,9.188113935,20.53637176
1996-08,1996,16-64,9.220682956,20.60916684
1996-08,1996,65+,6.828355504,15.26207099
1996-08,1996,0-15,7.903662975,17.66549286
1996-09,1996,0-15,7.94977334,17.76855423
1996-09,1996,65+,6.762153304,15.11410232
1996-09,1996,16-64,9.23567616,20.64267818
1996-10,1996,16-64,9.286415717,20.75608627
1996-10,1996,0-15,7.965439269,17.80356918
1996-10,1996,65+,6.695074659,14.96417471
1996-11,1996,65+,6.868743147,15.35234149
1996-11,1996,16-64,9.5059047,21.24666653
1996-11,1996,0-15,8.204497463,18.33788862
1996-12,1996,65+,6.869042163,15.35300982
1996-12,1996,0-15,8.290744211,18.5306589
1996-12,1996,16-64,9.523976013,21.28705776
1997-01,1997,16-64,9.646292837,21.18595077
1997-01,1997,0-15,8.22069939,18.05494976
1997-01,1997,65+,6.992522228,15.35753001
1997-02,1997,65+,7.032193125,15.44465837
1997-02,1997,16-64,9.728883413,21.36734272
1997-02,1997,0-15,8.369192837,18.38108281
1997-03,1997,0-15,8.566211567,18.81379092
1997-03,1997,16-64,9.745090869,21.40293882
1997-03,1997,65+,6.873369443,15.09583724
1997-04,1997,0-15,8.37236439,18.38804843
1997-04,1997,16-64,9.658711965,21.21322664
1997-04,1997,65+,6.725260821,14.77054938
1997-05,1997,65+,6.983351729,15.33738903
1997-05,1997,0-15,8.459440627,18.57929214
1997-05,1997,16-64,9.745540481,21.40392629
1997-06,1997,0-15,8.489731402,18.64581913
1997-06,1997,65+,7.109566987,15.61459296
1997-06,1997,16-64,9.785913037,21.49259569
1997-07,1997,0-15,8.400422154,18.4496711
1997-07,1997,16-64,9.822172499,21.57223159
1997-07,1997,65+,7.156904863,15.71856014
1997-08,1997,65+,7.195623842,15.80359782
1997-08,1997,0-15,8.501717263,18.67214343
1997-08,1997,16-64,9.901290825,21.74599751
1997-09,1997,65+,7.057659881,15.50059047
1997-09,1997,16-64,9.856141568,21.64683714
1997-09,1997,0-15,8.484863134,18.63512706
1997-10,1997,65+,7.059496964,15.50462521
1997-10,1997,16-64,9.918243874,21.78323113
1997-10,1997,0-15,8.512973057,18.69686429
1997-11,1997,65+,7.280130972,15.98919906
1997-11,1997,0-15,8.832047987,19.39764188
1997-11,1997,16-64,10.20507854,22.41320009
1997-12,1997,65+,7.209925234,15.83500767
1997-12,1997,16-64,10.12757773,22.2429867
1997-12,1997,0-15,8.84200417,19.41950843
1998-01,1998,65+,7.352031304,15.70142894
1998-01,1998,0-15,8.81383645,18.82334568
1998-01,1998,16-64,10.22309956,21.83305057
1998-02,1998,16-64,10.31244823,22.02386883
1998-02,1998,0-15,8.88584337,18.97712788
1998-02,1998,65+,7.298959051,15.58808472
1998-03,1998,0-15,8.935926556,19.08408846
1998-03,1998,16-64,10.26429381,21.92102742
1998-03,1998,65+,7.099609418,15.16234196
1998-04,1998,65+,6.973895741,14.89386047
1998-04,1998,0-15,8.918555495,19.04698981
1998-04,1998,16-64,10.14608022,21.66856356
1998-05,1998,0-15,8.876464724,18.95709829
1998-05,1998,16-64,10.26012778,21.91213021
1998-05,1998,65+,7.238800998,15.45960766
1998-06,1998,0-15,8.861436095,18.92500227
1998-06,1998,16-64,10.30680675,22.01182055
1998-06,1998,65+,7.350559791,15.69828629
1998-07,1998,65+,7.40736297,15.81959849
1998-07,1998,16-64,10.34463163,22.09260157
1998-07,1998,0-15,8.803082115,18.80037809
1998-08,1998,65+,7.343774237,15.68379466
1998-08,1998,16-64,10.41145697,22.2353177
1998-08,1998,0-15,8.890440022,18.98694476
1998-09,1998,65+,7.341746357,15.6794638
1998-09,1998,16-64,10.40343172,22.21817849
1998-09,1998,0-15,8.880143103,18.96495405
1998-10,1998,16-64,10.45642579,22.33135573
1998-10,1998,65+,7.377654729,15.75615182
1998-10,1998,0-15,8.952260337,19.11897184
1998-11,1998,0-15,9.20656926,19.66208888
1998-11,1998,16-64,10.64466408,22.73336846
1998-11,1998,65+,7.45790407,15.92753702
1998-12,1998,0-15,9.31870921,19.90158153
1998-12,1998,16-64,10.66303546,22.77260346
1998-12,1998,65+,7.44663235,15.90346447
1999-01,1999,65+,7.549926066,15.70670188
1999-01,1999,16-64,10.81683387,22.50310579
1999-01,1999,0-15,9.306142239,19.36029579
1999-02,1999,16-64,10.91199042,22.7010674
1999-02,1999,65+,7.591176767,15.79251894
1999-02,1999,0-15,9.415928347,19.58869242
1999-03,1999,0-15,9.337734601,19.42601985
1999-03,1999,65+,7.223310567,15.02721811
1999-03,1999,16-64,10.74048625,22.34427385
1999-04,1999,16-64,10.76171476,22.38843718
1999-04,1999,65+,7.372502661,15.33759409
1999-04,1999,0-15,9.463282831,19.68720766
1999-05,1999,65+,7.554409609,15.71602935
1999-05,1999,16-64,10.80661208,22.48184058
1999-05,1999,0-15,9.504890518,19.77376738
1999-06,1999,0-15,9.473656317,19.70878843
1999-06,1999,16-64,10.90220965,22.6807197
1999-06,1999,65+,7.627488282,15.86806063
1999-07,1999,16-64,10.91838602,22.71437266
1999-07,1999,65+,7.657786125,15.9310916
1999-07,1999,0-15,9.484473309,19.73129187
1999-08,1999,16-64,10.98806388,22.85932897
1999-08,1999,0-15,9.572440058,19.91429598
1999-08,1999,65+,7.665082723,15.94627129
1999-09,1999,0-15,9.607625658,19.98749533
1999-09,1999,16-64,10.95905317,22.79897571
1999-09,1999,65+,7.563986028,15.73595192
1999-10,1999,65+,7.624965566,15.86281243
1999-10,1999,0-15,9.725440734,20.23259525
1999-10,1999,16-64,11.05539508,22.99940333
1999-11,1999,0-15,9.726695236,20.23520509
1999-11,1999,16-64,11.18246049,23.26374745
1999-11,1999,65+,7.668636745,15.953665
1999-12,1999,65+,7.781705892,16.18889159
1999-12,1999,16-64,11.21909444,23.33995992
1999-12,1999,0-15,10.00290537,20.80982665
2000-01,2000,65+,7.919178711,15.77812572
2000-01,2000,16-64,11.42598065,22.76505755
2000-01,2000,0-15,9.971428495,19.86701629
2000-02,2000,65+,7.887683835,15.71537552
2000-02,2000,16-64,11.47488646,22.8624972
2000-02,2000,0-15,9.968678799,19.86153781
2000-03,2000,0-15,10.07751916,20.07839072
2000-03,2000,65+,7.704147266,15.34969832
2000-03,2000,16-64,11.41208871,22.73737935
2000-04,2000,0-15,10.28578646,20.49334127
2000-04,2000,65+,7.888925384,15.71784917
2000-04,2000,16-64,11.43887615,22.79075048
2000-05,2000,65+,7.743257215,15.42762075
2000-05,2000,0-15,9.900801298,19.72629907
